,time,snowfraction,windspeed,temperature,precipitation_probability,convective_precipitation,rainspot,pictocode,felttemperature,precipitation,isdaylight,uvindex,relativehumidity,sealevelpressure,winddirection
0,2026-07-01 00:00,0.0,0.7,18.43,47,0.94,1119001111119011111911111111111111111111111111111,28,20.7,0.94,0,0,95,1019.58,65
1,2026-07-01 01:00,0.0,0.12,18.39,45,0.0,0000000000000000000000000000000000000000000000000,12,21.07,0.0,0,0,95,1019.34,102
2,2026-07-01 02:00,0.0,0.23,18.4,48,0.0,1110000199000000000000000000000000000000000000000,12,21.02,0.0,0,0,95,1019.09,188
3,2026-07-01 03:00,0.0,0.31,18.39,47,0.0,0000000000990000000000000000000000000000000000000,6,20.97,0.0,1,0,95,1018.85,289
4,2026-07-01 04:00,0.0,0.12,18.33,46,0.0,0000000000000000000000000000000000000000000000000,22,21.07,0.0,1,0,96,1019.33,256
5,2026-07-01 05:00,0.0,0.28,18.5,45,0.0,0000000000000000000000000000000000000000000000000,12,21.17,0.0,1,0,96,1019.82,257
6,2026-07-01 06:00,0.0,1.33,18.79,40,0.0,0000000000000000000000000000000000000000000000000,22,20.79,0.0,1,0,95,1020.3,267
7,2026-07-01 07:00,0.0,1.61,18.99,38,0.0,9000000900000090000000000000000000000000000000000,22,20.56,0.0,1,0,91,1020.63,261
8,2026-07-01 08:00,0.0,2.57,19.06,65,0.48,2211111111111111111111111119199199019000009000000,28,19.69,0.48,1,1,87,1020.96,293
9,2026-07-01 09:00,0.0,0.23,19.38,45,0.0,0011111901111190911111000911900999100099110009911,22,21.42,0.0,1,2,82,1021.29,359
10,2026-07-01 10:00,0.0,1.78,20.11,47,0.0,0000991000009100000090000000000000000000000000000,12,20.83,0.0,1,4,75,1021.28,288
11,2026-07-01 11:00,0.0,1.72,20.99,47,0.0,0000000000000000000000000000000000000000000000000,11,21.46,0.0,1,5,68,1021.26,294
12,2026-07-01 12:00,0.0,1.79,22.03,41,0.0,0000000000000000000000000000000000000000000000000,4,22.08,0.0,1,5,60,1021.25,298
13,2026-07-01 13:00,0.0,1.61,23.47,31,0.0,0000000000000000000000000000000000000000000000000,10,24.57,0.0,1,5,53,1020.91,284
14,2026-07-01 14:00,0.0,1.82,25.49,33,0.0,0000000000000000000000000000000000000000100000000,10,26.4,0.0,1,4,45,1020.56,269
15,2026-07-01 15:00,0.0,0.88,24.84,36,0.0,0000000000000000000000000001000001100000900000000,10,25.84,0.0,1,3,45,1020.22,266
16,2026-07-01 16:00,0.0,1.86,23.99,30,0.0,0000000000000010009102000000100000010000000000000,7,23.14,0.0,1,2,45,1020.22,298
